Id,First Name,Last Name,Full Name,Team Id,Team Name,Team Abbreviation,Conference,Division,Position,Height,Weight,Jersey Number,College,Country,Draft Year,Draft Round,Draft Number,Status
3,Steven,Adams,Steven Adams,11,Houston Rockets,HOU,West,Southwest,C,6-11,265,12,Pittsburgh,New Zealand,2013,1,12,Active
4,Bam,Adebayo,Bam Adebayo,16,Miami Heat,MIA,East,Southeast,C-F,6-9,255,13,Kentucky,USA,2017,1,14,Active
8,Grayson,Allen,Grayson Allen,4,Charlotte Hornets,CHA,East,Southeast,G,6-3,198,8,Duke,USA,2018,1,21,Active
9,Jarrett,Allen,Jarrett Allen,6,Cleveland Cavaliers,CLE,East,Central,C,6-9,243,31,Texas,USA,2017,1,22,Active
12,Kyle,Anderson,Kyle Anderson,28,Toronto Raptors,TOR,East,Atlantic,F,6-8,230,12,UCLA,USA,2014,1,30,Active
15,Giannis,Antetokounmpo,Giannis Antetokounmpo,16,Miami Heat,MIA,East,Southeast,F,6-11,243,7,Filathlitikos,Greece,2013,1,15,Active
18,OG,Anunoby,OG Anunoby,20,New York Knicks,NYK,East,Atlantic,F,6-7,240,8,Indiana,United Kingdom,2017,1,23,Active
22,Deandre,Ayton,Deandre Ayton,30,Washington Wizards,WAS,East,Southeast,C,7-0,252,5,Arizona,Bahamas,2018,1,1,Active
24,Marvin,Bagley III,Marvin Bagley III,8,Denver Nuggets,DEN,West,Northwest,F,6-10,235,35,Duke,USA,2018,1,2,Active
28,Mo,Bamba,Mo Bamba,29,Utah Jazz,UTA,West,Northwest,C,7-0,231,11,Texas,USA,2018,1,6,Active
30,Harrison,Barnes,Harrison Barnes,27,San Antonio Spurs,SAS,West,Southwest,F,6-7,225,40,North Carolina,USA,2012,1,7,Active
33,Nicolas,Batum,Nicolas Batum,13,LA Clippers,LAC,West,Pacific,F-G,6-7,230,33,Le Mans,France,2008,1,25,Active
37,Bradley,Beal,Bradley Beal,13,LA Clippers,LAC,West,Pacific,G,6-4,207,0,Florida,USA,2012,1,3,Active
53,Bogdan,Bogdanovic,Bogdan Bogdanovic,11,Houston Rockets,HOU,West,Southwest,G,6-5,225,31,Fenerbahce,Serbia,2014,1,27,Active
57,Devin,Booker,Devin Booker,24,Phoenix Suns,PHX,West,Pacific,G,6-5,206,15,Kentucky,USA,2015,1,13,Active
60,Tony,Bradley,Tony Bradley,1,Atlanta Hawks,ATL,East,Southeast,C,6-10,248,13,North Carolina,USA,2017,1,28,Active
61,Mikal,Bridges,Mikal Bridges,20,New York Knicks,NYK,East,Atlantic,F,6-6,209,25,Villanova,USA,2018,1,10,Active
62,Miles,Bridges,Miles Bridges,24,Phoenix Suns,PHX,West,Pacific,F,6-7,225,0,Michigan State,USA,2018,1,12,Active
66,Dillon,Brooks,Dillon Brooks,24,Phoenix Suns,PHX,West,Pacific,G-F,6-7,225,3,Oregon,Canada,2017,2,45,Active
69,Bruce,Brown,Bruce Brown,8,Denver Nuggets,DEN,West,Northwest,G,6-4,202,11,Miami,USA,2018,2,42,Active
70,Jaylen,Brown,Jaylen Brown,23,Philadelphia 76ers,PHI,East,Atlantic,G,6-6,223,7,California,USA,2016,1,3,Active
73,Jalen,Brunson,Jalen Brunson,20,New York Knicks,NYK,East,Atlantic,G,6-2,190,11,Villanova,USA,2018,2,33,Active
74,Thomas,Bryant,Thomas Bryant,6,Cleveland Cavaliers,CLE,East,Central,C,6-9,248,3,Indiana,USA,2017,2,42,Active
